Funds,Focus Area,Strategic Outcome,Funding Stream,Agency Andar #,Agency Name,Program Andar #,Program Name,2015-16 Allocation,Grant Start Date,Grant End Date,Short Program Description,Planner,Target Population,Early Childhood,Middle Years,Families,Seniors,Parents/Caregivers,Youth,Immigrants/Refugees,Women,Aboriginal/First Nations,Other,Program Elements,Learning Support ,Science/technology/engineering/math/numeracy ,Language/literacy/reading,"Tutoring, homework clubs",Other,Social and Emotional Health ,Mental wellness,Caregiver/parental support,Self determination/confidence,Pro-social behaviour,Independence,Other,Connections/Healthy Relationships,Intergenerational relationships,Mentoring,Peer relationships,Social connectedness,Interpersonal communication,Parent-child bonding,Cross-cultural relationships,Participation in society,Other,Physical Health and Recreational Activities,Indoor play/activities,Outdoor play/activities,Music,Sports,Dance,Arts and crafts,Theatre,Physical safety/injury prevention,Other,Life Skills,Nutrition and cooking,Growing food,Leadership,Teamwork,Food planning and budgeting,Financial education,Other,System Change,Capacity building,Policy work,Research,Advocacy,Networks/collectives,Other,Address Program Barriers/Access,Child-minding,Transportation,Food provision,Outreach,Other,Food Redistribution,Information and Referral,Geographic Focus Area,First Nation Territories,First Nation Territories,Abbotsford,Chilliwack,Mission,Hope,Kent,Harrison Hot Springs,Boston Bar / North Bend,Dogwood Valley / Emory Creek / Choate / Sunshine Valley / Laidlaw / Spuzzum,Lake Errock / Harrison Mills / Hemlock Valley,Popkum / Bridal Falls,Slesse Park / Baker Trails / Bell Acres,Miracle Valley / Hatzic Prairie,Other,Metro Vancouver Regional District,Anmore,Belcarra,Bowen Island,Burnaby,Coquitlam,Delta,"Langley, City of","Langley, District Municipality",Lions Bay,Maple Ridge,New Westminster,"North Vancouver, City of","North Vancouver, District Municipality",Pitt Meadows,Port Coquitlam,Port Moody,Richmond,Surrey,Tsawwassen First Nation,Vancouver,West Vancouver,White Rock,Barnston Islands / Buntzen Bay / Gambier Island Trust Area / Granite Falls / Strachan Creen / University Endowment Lands (UBC),Squamish-Lillooet Regional District,Lillooet,Squamish,Pemberton,Whistler,Sunshine Coast Regional District,Elphinstone,Gibsons,Halfmoon Bay,Pender Harbour / Egmont / Madeira Park,Roberts Creek,Sechelt District Municipality,Sechelt Indian Government District (Part-Sunshine Coast),"West Howe Sound (Langdale, Port Mellon, Williamson?s Landing, Granthams Landing, Soames, Hopkins Landing, and Gambier and Keats Islands)",Other Areas,Other Areas,Donor Engagement,UW Speaker,Day of Caring,Volunteer Opps,Agency Tour,Agency Fair,Impact Story,Other,Outputs,Total Clients,Early Years (0-6yrs),Middle Years (6-12),Children (0-12yrs),Seniors,Parents/Caregivers,Families,Contacts/Services,Meals/Snacks,Counselling Sessions,Mentors/Tutors,Workshops,Volunteers
GOV,Strong Communities,Helping Seniors to Live Independently,Better at Home,1891,City of Burnaby,5121926,Better at Home Burnaby,227500,20150401,20160331,"Better at Home funding mobilizes local resources, networks and volunteers to support seniors living in their homes and enabling them to remain at home longer.",Angie Osachoff,Target Population,,,,1,,,,,,,Program Elements,300,,,,,100,,,,,1,,200,,,,1,,,,,,300,,,,,,,,,,300,,,,,,,,200,1,,,,,,300,,,,,,300,200,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donor Engagement,0,0,0,0,0,0,0,Outputs,198,,,,198,,,4865,,,,,
GOV,Strong Communities,Helping Seniors to Live Independently,Better at Home,193672,Chilliwack Community Services,5121900,Better at Home Chilliwack,140000,20150401,20160331,"Better at Home funding mobilizes local resources, networks and volunteers to support seniors living in their homes and enabling them to remain at home longer.",Eirikka Brandson,Target Population,,,,1,,,,,,,Program Elements,300,,,,,100,,,,,1,,200,,,,1,,,,,,300,,,,,,,,,,300,,,,,,,,300,,,,,,,200,,1,,1,,300,200,Geographic Focus Area,200,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donor Engagement,0,0,0,0,0,0,0,Outputs,97,,,,97,,,1749,,,,,
GOV,Strong Communities,Helping Seniors to Live Independently,Better at Home,5585922,Valley Community Services (formerly Creston and District),5606579,Better at Home Creston,103662,20150401,20160331,"Better at Home funding mobilizes local resources, networks and volunteers to support seniors living in their homes and enabling them to remain at home longer.",Eirikka Brandson,Target Population,,,,1,,,,,,,Program Elements,300,,,,,100,,,,,1,,200,,,,1,,,,,,300,,,,,,,,,,300,,,,,,,,200,1,,,,,1,300,,,,,,300,200,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Donor Engagement,0,0,0,0,0,0,0,Outputs,85,,,,85,,,2312,,,,,
GOV,Strong Communities,Helping Seniors to Live Independently,Better at Home,184986,Langley Senior Resources Society,4962759,Better at Home Langley,180000,20150401,20160331,"Better at Home funding mobilizes local resources, networks and volunteers to support seniors living in their homes and enabling them to remain at home longer.",Yves Trudel,Target Population,,,,1,,,,,,,Program Elements,300,,,,,100,,,,,1,,200,,,,1,,,,,,300,,,,,,,,,,300,,,,,,,,300,,,,,,,200,,1,,,,300,200,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,,,40,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donor Engagement,0,0,0,0,0,0,0,Outputs,97,,,,97,,,3724,,,,,
GOV,Strong Communities,Helping Seniors to Live Independently,Better at Home,174235,Mount Pleasant Neighbourhood House,5121959,Better at Home Mount Pleasant,132500,20150401,20160331,"Better at Home funding mobilizes local resources, networks and volunteers to support seniors living in their homes and enabling them to remain at home longer.",Beverley Pitman,Target Population,,,,1,,,,,,,Program Elements,300,,,,,100,,,,,1,,200,,,,1,,,,,,300,,,,,,,,,,300,,,,,,,,200,1,,,,,,200,,,,1,,300,200,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,Donor Engagement,0,0,0,0,0,0,0,Outputs,122,,,,122,,,1823,,,,,
GOV,Strong Communities,Helping Seniors to Live Independently,Better at Home,184697,Seniors Come Share Society,5034640,Better at Home Surrey South White Rock,246668,20150401,20160331,"Better at Home funding mobilizes local resources, networks and volunteers to support seniors living in their homes and enabling them to remain at home longer.",Yves Trudel,Target Population,,,,1,,,,,,,Program Elements,300,,,,,100,,,,,1,,200,,,,1,,,,,,300,,,,,,,,,,300,,,,,,,,300,,,,,,,300,,,,,,300,300,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,20,,,,,,,,,,,,,,,,,,Donor Engagement,0,0,0,0,0,0,0,Outputs,254,,,,254,,,4571,,,,,
UWLM,All That Kids Can Be,Helping School-Aged Children Succeed,Community Schools,238212,School District #39 - Vancouver,5846167,Vancouver Community School Partnership,75000,20150701,20160630,Coordinators support students with responsive and relevant programming and purposeful activity.,Beverley Pitman,Target Population,,1,,,,,,,,,Program Elements,200,1,1,1,1,300,,,,,,,300,,,,,,,,,,100,1,1,1,,,,,,,200,,,1,1,,,1,300,,,,,,,300,,,,,,300,300,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,Donor Engagement,0,0,1,1,0,1,0,Outputs,,,,,,,,,,,,,
UWLM,All That Kids Can Be,Helping School-Aged Children Succeed,Community Schools,184226,School District #40 - New Westminster,5846175,New Westminster Community School Partnership,75000,20150701,20160630,"Funding for a framework to ensure community school programs and supports are cost-effective, focus on vulnerable clients, and avoid duplication.",Angie Osachoff,Target Population,,1,,,,,,,,,Program Elements,200,1,1,1,1,300,,,,,,,300,,,,,,,,,,100,1,1,1,,1,,,,1,100,,,1,1,,,1,300,,,,,,,200,,,1,,,300,300,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donor Engagement,0,0,0,1,0,1,0,Outputs,,,,,,,,,,,,,
UWLM,All That Kids Can Be,Helping School-Aged Children Succeed,Community Schools,252510,School District #42 - Maple Ridge / Pitt Meadows - YES Foundation,6017495,Maple Ridge Pitt Meadows Community School Partnership,25000,20151201,20160630,Funding of Community School Coordinator to facilitatie provision of out of school time programming to children to keep them safe and supervised as well as provide opportunities for self-development.,Angie Osachoff,Target Population,,1,,,,,,,,,Program Elements,200,1,1,1,1,300,,,,,,,300,,,,,,,,,,100,1,1,1,1,,,1,,,100,,,1,1,,,1,300,,,,,,,300,,,,,,300,300,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,Donor Engagement,1,0,0,1,0,1,0,Outputs,,,,,,,,,,,,,
UWLM,All That Kids Can Be,Maximizing Impact with Targeted Populations,ECD Refugee Pilot Project,29769,Richmond Family Place Society,5665443,Early Childhood Focused Settlement Services for Refugees in Richmond,95000,20150401,20160331,Support and programming for new and current refugees with young children.,Jody Olsson,Target Population,,,,,,,1,,,,Program Elements,100,1,1,,1,100,1,1,,,,,200,1,,,1,,,,,,300,,,,,,,,,,200,,,,,,1,,300,,,,,,,200,1,1,1,1,,300,300,Geographic Focus Area,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,Donor Engagement,0,0,0,0,0,0,0,Outputs,168,44,67,111,0,57,33,,,,,,
