Funds,Focus Area,Strategic Outcome,Funding Stream,Agency Andar #,Agency Name,Program Andar #,Program Name,2015-16 Allocation,Grant Start Date,Grant End Date,Short Program Description,Planner,Target Population,Early Childhood,Middle Years,Families,Seniors,Parents/Caregivers,Youth,Immigrants/Refugees,Women,Aboriginal/First Nations,Other,Program Elements,Learning Support ,Science/technology/engineering/math/numeracy ,Language/literacy/reading,"Tutoring, homework clubs",Other,Social and Emotional Health ,Mental wellness,Caregiver/parental support,Self determination/confidence,Pro-social behaviour,Independence,Other,Connections/Healthy Relationships,Intergenerational relationships,Mentoring,Peer relationships,Social connectedness,Interpersonal communication,Parent-child bonding,Cross-cultural relationships,Participation in society,Other,Physical Health and Recreational Activities,Indoor play/activities,Outdoor play/activities,Music,Sports,Dance,Arts and crafts,Theatre,Physical safety/injury prevention,Other,Life Skills,Nutrition and cooking,Growing food,Leadership,Teamwork,Food planning and budgeting,Financial education,Other,System Change,Capacity building,Policy work,Research,Advocacy,Networks/collectives,Other,Address Program Barriers/Access,Child-minding,Transportation,Food provision,Outreach,Other,Food Redistribution,Information and Referral,Geographic Focus Area,First Nation Territories,First Nation Territories,Fraser Valley Regional District,Abbotsford,Chilliwack,Mission,Hope,Kent,Harrison Hot Springs,Boston Bar / North Bend,Dogwood Valley / Emory Creek / Choate / Sunshine Valley / Laidlaw / Spuzzum,Lake Errock / Harrison Mills / Hemlock Valley,Popkum / Bridal Falls,Slesse Park / Baker Trails / Bell Acres,Miracle Valley / Hatzic Prairie,Other,Metro Vancouver Regional District,Anmore,Belcarra,Bowen Island,Burnaby,Coquitlam,Delta,"Langley, City of","Langley, District Municipality",Lions Bay,Maple Ridge,New Westminster,"North Vancouver, City of","North Vancouver, District Municipality",Pitt Meadows,Port Coquitlam,Port Moody,Richmond,Surrey,Tsawwassen First Nation,Vancouver,West Vancouver,White Rock,Barnston Islands / Buntzen Bay / Gambier Island Trust Area / Granite Falls / Strachan Creen / University Endowment Lands (UBC),Squamish-Lillooet Regional District,Lillooet,Squamish,Pemberton,Whistler,Sunshine Coast Regional District,Elphinstone,Gibsons,Halfmoon Bay,Pender Harbour / Egmont / Madeira Park,Roberts Creek,Sechelt District Municipality,Sechelt Indian Government District (Part-Sunshine Coast),"West Howe Sound (Langdale, Port Mellon, Williamson?s Landing, Granthams Landing, Soames, Hopkins Landing, and Gambier and Keats Islands)",Other Areas,Other Areas,Donor Engagement,UW Speaker,Day of Caring,Volunteer Opps,Agency Tour,Agency Fair,Impact Story,Other,Outputs,Total Clients,Early Years (0-6yrs),Middle Years (6-12),Children (0-12yrs),Seniors,Parents/Caregivers,Families,Contacts/Services,Meals/Snacks,Counselling Sessions,Mentors/Tutors,Workshops,Volunteers
UWLM,,,vitae,6357,fusce congue diam,4568,adipiscing molestie,981,2016-03-29,2016-12-08,quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante,Diana Watkins,Target Population,1,1,0,1,1,1,1,1,1,0,Program Element,200,1,1,0,0,100,0,1,1,1,1,0,300,1,0,1,1,0,0,1,1,0,200,0,0,0,0,0,0,1,0,1,300,0,0,1,1,1,1,0,300,0,1,0,1,0,1,300,1,0,1,0,1,300,100,Geographic Focus Area,200,17,100,19,90,92,30,85,56,29,,,,1,,100,23,67,14,79,91,46,90,54,21,72,72,78,43,19,20,77,33,83,38,82,35,79,51,26,300,34,47,49,74,300,63,52,54,23,28,100,48,52,100,97,Donor Engagement,0,1,1,1,1,1,1,Outputs,671,73,41,61,15,38,69,149,7440,295,4019,7531,9621
GOV,,,sapien,1544,ipsum dolor,8119,ultrices,236,2016-08-16,2017-01-22,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu,Ronald Richards,Target Population,0,1,0,0,1,0,1,1,0,1,Program Element,200,1,1,1,0,100,1,1,1,0,1,1,300,1,0,0,0,0,1,0,0,0,100,1,0,0,1,0,0,1,0,0,200,1,0,1,1,0,1,0,100,1,1,1,1,0,1,300,0,1,0,1,1,100,300,Geographic Focus Area,300,4,300,9,75,3,56,9,52,76,,,,22,,100,21,79,46,76,20,39,76,10,94,90,100,59,46,93,61,98,28,53,24,3,44,93,70,59,100,14,42,28,9,100,58,100,3,34,27,20,89,87,100,37,Donor Engagement,0,1,0,0,0,0,1,Outputs,923,5,53,72,26,24,59,7581,7799,7317,4455,7796,1016
GOV,,,turpis,7098,suspendisse accumsan tortor,1749,duis consequat dui,458,2016-12-07,2016-07-05,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget,Nicholas Robinson,Target Population,1,1,0,0,0,1,1,1,1,0,Program Element,100,0,0,1,1,100,0,0,0,1,0,1,100,1,1,0,1,1,0,1,1,1,300,0,0,1,1,1,1,1,0,0,200,0,1,1,1,1,1,1,300,1,0,0,0,0,0,200,0,0,1,0,0,200,300,Geographic Focus Area,200,12,200,41,19,89,95,48,70,24,,,,56,,100,23,45,28,90,94,42,8,14,43,78,91,32,9,82,69,98,93,73,20,11,24,96,27,41,200,24,9,64,58,100,34,34,47,30,70,42,74,3,200,78,Donor Engagement,1,0,1,0,0,0,0,Outputs,685,31,60,20,75,95,86,3040,8342,496,3977,3340,8391
UWLM,,,mauris,1869,amet,4656,consectetuer eget rutrum at,7083,2016-05-07,2017-03-02,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim,Jennifer Simmons,Target Population,0,0,0,0,0,1,0,0,0,0,Program Element,200,1,0,0,0,200,1,1,1,1,0,1,300,0,0,0,0,1,1,1,1,0,200,1,0,0,0,1,1,1,1,0,200,0,0,1,0,0,1,0,300,0,0,1,0,0,0,300,0,1,1,0,1,200,100,Geographic Focus Area,100,48,100,79,37,28,86,92,59,49,,,,57,,100,87,67,85,34,11,70,3,65,84,36,38,58,8,81,72,10,95,95,86,14,6,15,71,14,200,9,43,95,19,100,35,27,44,28,52,70,38,51,300,73,Donor Engagement,1,0,1,1,0,0,1,Outputs,631,81,49,23,68,50,49,5277,9153,2504,9205,8509,7444
GOV,,,nam,6398,magna vestibulum aliquet,623,lectus vestibulum quam,6260,2017-03-02,2016-12-19,dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,Shirley Duncan,Target Population,1,0,0,1,0,1,0,0,1,1,Program Element,200,1,0,1,1,300,0,0,0,0,1,0,200,1,1,1,0,0,1,0,1,1,300,1,1,0,0,0,1,0,0,1,200,0,0,1,0,0,1,1,100,1,1,0,0,0,0,200,1,1,1,1,0,200,100,Geographic Focus Area,300,96,100,76,50,77,58,80,12,85,,,,18,,300,20,31,14,55,18,99,32,72,32,67,87,76,92,44,13,89,53,71,18,5,56,74,62,35,100,53,7,28,75,200,91,80,74,61,92,80,4,89,200,95,Donor Engagement,0,1,0,1,1,0,1,Outputs,626,88,99,51,26,64,35,1427,692,6120,9043,8626,6891
GOV,,,etiam,6815,placerat ante nulla justo,5302,enim blandit mi,3657,2016-06-14,2016-05-26,nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus,Howard Vasquez,Target Population,1,0,1,1,1,1,0,0,1,0,Program Element,300,0,1,1,0,200,0,1,1,1,1,0,300,0,0,0,0,1,1,0,1,0,300,1,1,1,0,1,0,1,0,0,200,0,1,0,0,0,1,1,300,1,0,1,0,0,1,300,0,1,1,0,1,200,200,Geographic Focus Area,300,66,100,23,40,68,87,2,76,59,,,,31,,200,98,2,81,33,76,71,75,22,44,89,33,45,40,11,41,87,70,44,11,93,30,47,69,39,200,13,87,20,47,300,59,94,39,7,66,15,52,43,200,60,Donor Engagement,0,1,1,1,0,1,0,Outputs,610,40,30,63,27,29,60,1956,1535,3279,4530,5955,3312
GOV,,,tortor,1448,eu est,3573,dui proin leo odio,4090,2016-04-27,2016-06-06,luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,Janice Alexander,Target Population,0,1,0,1,0,1,1,1,0,0,Program Element,200,0,0,0,0,100,1,1,1,1,1,0,200,0,1,0,1,1,0,1,0,1,100,0,0,0,0,1,0,1,0,0,200,1,1,0,0,1,0,1,100,0,0,0,1,0,0,200,0,1,1,0,1,300,300,Geographic Focus Area,200,77,300,55,98,98,58,84,82,35,,,,76,,300,56,21,34,17,87,82,92,10,6,85,49,43,27,83,17,56,60,62,13,93,74,55,7,25,100,34,3,92,52,100,64,67,38,35,39,5,1,85,300,59,Donor Engagement,1,0,0,1,0,1,1,Outputs,984,6,80,4,15,35,73,4968,5995,2232,3520,2711,8363
UWLM,,,nibh,2887,ornare imperdiet,2088,porttitor,6475,2016-05-20,2017-02-03,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,Rachel Rose,Target Population,1,1,1,1,1,0,1,1,0,1,Program Element,300,0,0,1,1,300,1,1,1,0,0,1,200,1,1,1,1,1,0,0,1,1,300,1,1,1,0,1,0,0,1,1,200,1,0,1,1,1,1,0,200,1,1,1,0,1,1,100,0,0,0,0,0,200,200,Geographic Focus Area,100,22,100,56,36,64,11,24,39,79,,,,39,,300,8,78,34,79,92,55,50,17,54,59,77,76,70,8,79,84,63,87,31,75,24,85,33,47,300,7,43,73,98,100,91,5,41,78,64,98,3,19,100,38,Donor Engagement,1,0,1,0,0,0,1,Outputs,156,94,22,29,76,92,72,4474,3856,3869,6921,1925,9792
UWLM,,,orci,9241,in lacus,9112,purus aliquet at feugiat,559,2016-03-11,2016-07-16,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in,Wayne Phillips,Target Population,0,1,1,0,0,0,0,0,0,1,Program Element,200,1,1,1,1,200,1,0,0,1,1,1,300,1,1,1,1,0,1,0,0,0,300,1,1,1,0,0,1,1,0,1,300,1,1,0,1,0,1,0,100,1,1,0,0,1,0,100,0,1,0,1,0,100,100,Geographic Focus Area,200,35,100,41,27,94,29,95,61,42,,,,48,,100,56,100,71,7,35,100,63,99,97,49,64,18,82,3,43,82,58,16,24,59,28,36,5,37,300,29,50,78,38,200,81,31,22,18,82,35,27,36,200,85,Donor Engagement,1,1,0,0,0,0,1,Outputs,176,96,31,81,33,84,22,4910,1271,6834,8482,379,8921
GOV,,,pellentesque,1174,ante vestibulum ante ipsum,5598,elementum eu,8019,2016-09-10,2017-01-12,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra,Joseph Crawford,Target Population,1,1,1,1,0,0,1,1,0,1,Program Element,100,1,0,0,0,200,0,0,0,1,0,0,100,0,1,1,1,0,1,0,1,0,200,1,1,0,0,1,0,0,1,1,200,1,1,1,1,0,0,0,300,1,0,1,0,1,1,200,0,1,1,1,0,100,200,Geographic Focus Area,200,5,200,80,86,11,22,76,90,75,,,,51,,100,64,3,9,82,11,55,4,6,48,60,64,83,17,73,90,55,90,99,18,75,83,33,10,57,100,58,77,51,94,100,10,96,41,78,32,26,30,9,200,18,Donor Engagement,0,0,1,1,1,0,0,Outputs,255,74,87,25,100,3,43,5644,909,988,8918,8244,6979
UWLM,,,leo,1296,ultrices libero non mattis,9112,ipsum,4274,2016-08-01,2016-10-22,dolor sit amet consectetuer adipiscing elit proin interdum mauris non,Bobby Reyes,Target Population,1,1,1,1,0,1,0,0,0,1,Program Element,100,0,1,1,1,200,1,0,0,0,0,1,200,1,1,1,1,1,0,0,1,1,200,1,0,1,0,1,0,1,0,0,300,0,1,0,1,1,1,1,100,0,1,1,0,1,1,100,0,0,0,0,0,200,300,Geographic Focus Area,200,71,200,47,50,85,97,88,54,17,,,,2,,200,68,99,19,92,90,20,80,85,64,30,55,50,9,98,65,63,46,90,46,1,47,41,64,17,200,58,11,28,66,300,27,66,56,58,66,57,38,70,300,97,Donor Engagement,1,0,0,1,1,1,1,Outputs,705,7,9,55,63,10,14,821,7068,9717,4741,7426,285
UWLM,,,cras,7065,mi sit amet lobortis,3740,mauris,48,2016-08-27,2017-02-25,enim leo rhoncus sed vestibulum sit amet cursus id turpis,Chris Crawford,Target Population,1,1,1,1,0,0,1,1,0,0,Program Element,200,0,0,0,1,200,0,1,1,1,0,1,100,1,0,1,1,0,0,1,1,1,200,0,0,1,0,1,0,1,1,0,300,0,1,1,1,1,0,0,300,1,1,1,1,1,1,100,0,1,0,0,1,100,100,Geographic Focus Area,100,33,300,23,42,90,18,4,73,54,,,,23,,200,93,22,81,68,78,44,9,67,71,63,25,59,13,75,64,77,16,18,67,67,15,10,37,37,100,6,91,97,10,200,35,56,99,100,8,1,59,100,300,28,Donor Engagement,1,0,1,0,0,0,1,Outputs,715,98,10,38,97,69,31,6734,3094,8776,2980,8463,1550
GOV,,,elementum,366,vivamus vestibulum,8885,arcu,6430,2016-05-26,2016-08-02,nisl duis bibendum felis sed interdum venenatis turpis enim blandit,Judith Robertson,Target Population,1,0,0,0,1,1,0,0,0,1,Program Element,300,0,0,0,1,200,0,1,1,0,0,0,100,0,1,0,1,1,1,1,1,0,100,1,1,0,1,1,1,0,0,1,100,1,0,1,1,1,1,1,100,0,0,0,0,0,1,300,1,1,1,1,0,200,100,Geographic Focus Area,200,54,300,26,15,27,26,62,73,82,,,,93,,300,95,16,31,43,65,6,95,74,24,9,99,41,96,35,62,50,58,20,95,97,92,64,55,44,200,90,12,94,8,200,93,50,9,19,29,50,43,15,100,84,Donor Engagement,1,1,0,1,0,1,0,Outputs,787,34,95,42,14,94,81,4890,6574,2865,7075,3937,3516
UWLM,,,cursus,3436,ligula nec sem,4475,sed interdum venenatis,6073,2016-12-15,2016-04-13,quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu,Stephanie Rice,Target Population,0,0,0,1,0,0,1,1,1,1,Program Element,300,1,0,1,0,200,1,0,0,0,1,0,300,1,0,1,1,0,1,1,0,1,200,1,1,1,0,1,1,1,0,0,200,0,0,0,1,1,0,0,300,0,0,1,1,0,1,100,1,1,1,0,0,100,300,Geographic Focus Area,300,4,100,81,77,77,53,78,49,22,,,,58,,300,9,53,84,4,40,68,13,25,12,62,100,66,61,44,34,53,70,41,48,41,57,73,89,69,300,11,93,36,40,200,41,14,75,7,47,61,17,7,300,55,Donor Engagement,1,0,1,1,1,1,0,Outputs,141,60,36,45,94,39,47,8836,369,4620,5106,6783,5115
UWLM,,,non,5809,ante ipsum primis in,2990,libero ut massa,2083,2016-12-04,2016-08-31,nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio,Bobby Hanson,Target Population,1,1,0,0,0,0,0,0,1,0,Program Element,200,0,0,1,1,200,0,0,0,1,1,0,200,0,1,1,0,0,0,1,1,1,200,1,0,1,0,0,1,1,0,1,100,1,0,1,0,0,0,1,300,1,1,0,0,0,1,100,1,1,1,1,1,300,100,Geographic Focus Area,300,9,300,66,49,79,14,47,39,4,,,,74,,100,33,80,73,87,3,64,22,52,70,26,40,68,41,28,90,49,45,41,34,89,83,53,44,62,100,47,43,97,80,100,83,69,18,74,5,50,83,86,100,48,Donor Engagement,1,0,0,0,0,0,0,Outputs,59,65,40,98,74,13,58,6280,8073,4161,7466,4148,6101
UWLM,,,augue,8730,lectus,924,nulla mollis molestie,9223,2016-12-04,2016-07-09,condimentum id luctus nec molestie sed justo pellentesque viverra pede,Christine Kim,Target Population,0,0,1,1,1,1,1,1,0,0,Program Element,200,1,1,1,0,200,1,0,0,1,1,0,100,0,0,0,0,0,0,1,1,0,300,1,1,1,1,0,1,1,0,1,100,0,0,1,0,1,1,1,100,0,0,1,1,1,0,300,1,1,0,0,0,300,200,Geographic Focus Area,200,92,200,8,12,4,3,55,6,13,,,,31,,200,11,69,29,19,96,8,78,35,52,17,12,39,7,27,46,42,40,20,13,31,9,37,27,29,100,1,23,31,98,300,48,77,98,65,24,21,47,15,100,95,Donor Engagement,0,1,1,1,1,0,1,Outputs,357,94,19,67,32,29,80,6840,3638,9997,4757,3078,5561
UWLM,,,aenean,1433,odio odio elementum eu,8863,faucibus orci luctus,833,2016-06-25,2016-06-12,eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper,Janice Fuller,Target Population,0,1,0,0,1,1,0,0,1,0,Program Element,100,0,1,0,1,200,0,1,1,1,1,0,200,0,1,0,1,1,1,1,0,1,100,0,1,0,0,0,0,0,1,1,100,1,0,0,0,0,0,0,300,1,0,1,1,0,1,100,0,1,1,1,0,100,200,Geographic Focus Area,200,29,300,8,76,83,57,19,31,14,,,,78,,300,38,23,31,29,49,42,72,84,99,91,76,58,82,69,57,45,27,50,99,92,46,35,78,91,100,40,14,21,74,300,78,77,29,46,29,71,83,90,200,7,Donor Engagement,0,1,1,0,0,0,1,Outputs,875,41,7,9,8,90,85,3044,7441,5863,5808,6665,4756
GOV,,,aliquam,7044,nullam sit amet turpis,4626,adipiscing lorem,3084,2016-11-02,2016-08-22,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt,Angela Jordan,Target Population,0,1,1,1,1,1,1,1,1,0,Program Element,200,0,1,0,0,100,0,0,0,0,1,1,100,0,0,1,0,1,1,0,1,1,300,0,1,0,1,0,1,1,1,0,100,0,1,0,1,1,0,1,100,1,1,1,1,1,1,200,0,0,1,1,1,100,300,Geographic Focus Area,100,26,200,43,42,90,25,28,42,80,,,,25,,100,70,50,28,77,32,25,3,85,16,94,56,76,59,48,31,42,71,68,88,45,81,60,36,41,100,37,97,65,83,200,99,80,95,8,61,75,4,28,100,83,Donor Engagement,1,0,1,0,0,1,0,Outputs,102,56,62,34,47,75,100,7340,9910,5236,8545,8304,1580
UWLM,,,eget,1358,id luctus,7590,justo sollicitudin ut,3627,2016-08-11,2016-04-02,rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia,Joshua Howard,Target Population,0,0,0,1,0,1,1,1,0,1,Program Element,100,1,1,1,1,200,1,0,0,0,1,1,300,1,1,0,1,1,1,0,1,0,100,1,0,1,1,1,1,1,1,1,300,0,1,0,1,1,1,1,300,0,0,0,0,1,1,300,0,1,1,1,0,100,200,Geographic Focus Area,100,98,300,84,71,9,87,74,91,41,,,,67,,200,74,80,22,86,4,77,72,60,61,65,45,82,16,55,43,2,41,32,14,76,23,88,84,51,200,45,31,85,61,200,26,55,27,90,62,78,9,59,200,69,Donor Engagement,1,1,1,1,0,0,1,Outputs,364,92,16,13,8,69,78,3218,9995,859,7113,5350,7535
